Name,Latitude,Longitude,Type,Yelp(5),Price(3),Reviews
Mondo,30.0038914,-90.1036662,American,3.5,2,197
Cowbell,29.9500877,-90.1331747,American,4,2,540
Company Burger,29.9432435,-90.1279624,American,4,2,736
Coquette,29.926021,-90.0825129,American,4.5,3,772
Meril,29.9467153,-90.0684613,American,4,2,887
Rosedale,29.9847323,-90.10857614,American,4,2,133
Maypop,29.946757,-90.0753602,American/Chinese,4.5,2,578
Compere Lepin,29.9478805,-90.0673132,American/French/Carribean,4.5,3,796
Blue Oak BBQ,29.9805215,-90.09389,BBQ,4.5,2,1053
Central City BBQ,29.9438865,-90.0785785,BBQ,4,2,372
Frey,29.9792576,-90.1034977,BBQ/American,3.5,2,375
Willa Jean,29.946757,-90.0753602,Brunch,4,2,1980
Satusma,29.9637599,-90.04291073,Brunch,4,2,360
Bearcat,29.9356438,-90.1041777,Brunch/American,4.5,2,852
The Daily Beet,29.9489374,-90.07901,Brunch/Vegetarian,4.5,2,240
Brennan's,29.9561164,-90.0666568,Cajun,4,3,309
Jack Rose,29.9263865,-90.1044317,Cajun,4.5,2,237
Cochon,29.9422594,-90.0672516,Cajun/Seafood,4,2,4379
Dian Xin,29.960941,-90.0587849,Chinese,4.5,2,364
Bao and Noodle,29.9685363,-90.054805,Chinese/Noodle,4,2,196
1000 Figs,29.9805237,-90.084252,Falafel,4.5,2,30
Saffron,29.9208774,-90.0987907,Indian,4.5,3,290
Pizza Domenica,29.9204553,-90.1088471,Italian,4,2,416
Palladar 511,29.9630209,-90.054757,Italian,4.5,2,485
Gianna,29.9206131,-90.1038381,Italian,4,3,154
Josephine Estelle,29.9483688,-90.0720771,Italian/Southern,4,2,356
Saba,29.9216133,-90.1185859,Mediterranean/Middle Eastern,4.5,3,332
Shaya,29.9210738,-90.099549,Mediterranean/Middle Eastern,4.5,2,1409
Tito's Ceviche,29.9206131,-90.1038381,Peruvian/Seafood/Japanese,4.5,2,196
Parkway Bakery,29.9736049,-90.0902597,Sandwich,4.5,2,2131
Turkey and the Wolf,29.9427851,-90.088063,Sandwich,4.5,2,640
St. James Cheese Factory,29.9244703,-90.1090893,Sandwich,4.5,2,444
Good Bird,29.9350862,-90.1088683,Sandwich/Brunch,4,2,107
Peche,29.9450973,-90.0691686,Seafood,4,3,1891
Lola's,29.9807334,-90.0853021,Spanish/Tapas,4,2,368
Breads on oak,29.9500877,-90.1331747,Vegan,4.5,2,53
Pho Tau Bay,29.9564532,-90.0784931,Vietnamese,4,1,336
